[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/client/core/CancelablePromise.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/client/core/OpenAPI.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/client/models.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/client/services.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/client/schemas.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Common/UserMenu.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/components/Common/Sidebar.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/hooks/useAuth.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/utils.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:51 +0000] - 304 304 - GET http localhost "/src/hooks/useCustomToast.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
